date,enodeb_name,longitude_sector,latitude_sector,azimuth,cell_name,frequency_band,localcell_id,cell_fdd_tdd_indication,l_traffic_activeuser_dl_avg,ft_ave_4g_lte_dl_user_thrput_without_last_tti_all___kbps__kbit_,ft_physical_resource_blocks_load_dl,ft_4g_lte_average_reported_cqi,ot_average_ta,referencesignalpwr
01-12-2025 00:00,site_0035,10.57827778,35.91488889,340,site_0035_l3,1,9,CELL_FDD,1.322,25552.2016,56.6557,9.9899,1.3733,182
01-12-2025 00:00,site_0003,10.59786111,35.85925,50,site_0003_lx1,1,27,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0003,10.59786111,35.85925,50,site_0003_hx1,3,24,CELL_FDD,0,,,,,170
01-12-2025 00:00,site_0015,10.58638889,35.73286111,10,site_0015_j1,3,104,CELL_FDD,0,,,,,142
01-12-2025 00:00,site_0016,10.61213,35.8395,270,site_0016_l3,1,9,CELL_FDD,0,,,,,170
01-12-2025 00:00,site_0028,10.56489,35.81653,30,site_0028_l1,1,7,CELL_FDD,0.7402,23415.6576,45.4529,8.8327,1.6551,182
01-12-2025 00:00,site_0009,10.57997222,35.90416667,110,site_0009_f2,20,2,CELL_FDD,0.0619,28250.3121,5.0802,11.4522,2.4015,182
01-12-2025 00:00,site_0002,10.60358333,35.86969444,130,site_0002_f2,20,2,CELL_FDD,3.4684,6677.5935,88.6385,8.9098,1.9678,182
01-12-2025 00:00,site_0012,10.57161,35.73317,180,site_0012_f4,20,11,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0016,10.61213,35.8395,150,site_0016_l2,1,8,CELL_FDD,0,,,,,170
01-12-2025 00:00,site_0011,10.53585,35.88013,160,site_0011_h2,3,5,CELL_FDD,3.2502,13906.3412,84.0127,9.1283,2.4464,170
01-12-2025 00:00,site_0015,10.58638889,35.73286111,280,site_0015_j3,3,106,CELL_FDD,0,,,,,142
01-12-2025 00:00,site_0019,10.61219444,35.85341666,20,site_0019_l1,1,7,CELL_FDD,0.9485,34739.2105,69.1106,9.6215,2.5135,170
01-12-2025 00:00,site_0034,10.59288888,35.88961111,240,site_0034_f3,20,3,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0040,10.52544,35.86844,170,site_0040_f2,20,2,CELL_FDD,2.0727,6901.6849,82.5373,8.1743,2.5386,182
01-12-2025 00:00,site_0016,10.61213,35.8395,330,site_0016_f4,20,11,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0016,10.61213,35.8395,30,site_0016_f1,20,1,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0016,10.61213,35.8395,330,site_0016_l4,1,17,CELL_FDD,0,,,,,170
01-12-2025 00:00,site_0016,10.61213,35.8395,30,site_0016_l1,1,7,CELL_FDD,0,,,,,170
01-12-2025 00:00,site_0007,10.65539,35.80331,140,site_0007_l1,1,7,CELL_FDD,2.1746,13951.396,67.4011,9.2573,2.2688,170
01-12-2025 00:00,site_0008,10.53461,35.76266,350,site_0008_l3,1,9,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0016,10.61213,35.8395,270,site_0016_f3,20,3,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0008,10.53461,35.76266,230,site_0008_l2,1,8,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0017,10.61716667,35.84623611,180,site_0017_l2,1,8,CELL_FDD,0,,,,,182
01-12-2025 00:00,site_0016,10.61213,35.8395,330,site_0016_h4,3,14,CELL_FDD,0,,,,,170
01-12-2025 00:00,site_0015,10.58638889,35.73286111,110,site_0015_j2,3,105,CELL_FDD,0,,,,,142
01-12-2025 00:00,site_0017,10.61716667,35.84623611,280,site_0017_l3,1,9,CELL_FDD,0,,,,,182
