cell_name,peak_hour,peak_avg_prb,samples
TN1756_c02,13:00,91.1200,1
TN1756_c03,06:00,94.9600,1
TN1757_c01,12:00,91.7500,1
TN1757_c02,04:00,92.6300,1
TN1757_c03,18:00,88.7500,1
TN1758_c01,14:00,95.1400,1
TN1758_c02,04:00,94.3800,1
TN1758_c03,05:00,94.8600,1
TN1759_c01,04:00,87.0800,1
TN1759_c02,21:00,95.2100,1
TN1759_c03,02:00,90.8300,1
TN1760_c01,02:00,92.8600,1
TN1760_c02,17:00,95.5700,1
TN1760_c03,09:00,95.7200,1
TN1761_c01,21:00,95.0400,1
TN1761_c02,09:00,94.2600,1
TN1761_c03,02:00,94.9100,1
TN1762_c01,20:00,93.3900,1
TN1762_c02,04:00,94.4000,1
TN1762_c03,09:00,95.5600,1
TN1763_c01,20:00,88.4600,1
TN1763_c02,10:00,95.9000,1
TN1763_c03,16:00,92.5900,1
TN1764_c01,11:00,93.9400,1
TN1764_c02,09:00,95.9500,1
TN1764_c03,03:00,93.2800,1
TN2151_c01,01:00,92.6100,1
TN2151_c02,14:00,92.7300,1
TN2151_c03,13:00,91.0600,1
TN2152_c01,23:00,95.6000,1
TN2152_c02,06:00,95.9800,1
TN2152_c03,05:00,88.0300,1
TN2153_c01,18:00,89.6400,1
TN2153_c02,22:00,90.7300,1
TN2153_c03,11:00,93.9800,1
TN2154_c01,20:00,94.0000,1
TN2154_c02,03:00,94.4700,1
TN2154_c03,04:00,90.5900,1
TN2155_c01,12:00,94.4900,1
TN2155_c02,02:00,93.9400,1
TN2155_c03,04:00,88.8100,1
TN2156_c01,19:00,95.8100,1
TN2156_c02,07:00,95.6900,1
TN2156_c03,08:00,94.2400,1
TN2157_c01,06:00,94.5400,1
TN2157_c02,03:00,94.3800,1
TN2157_c03,07:00,94.1000,1
TN2158_c01,13:00,94.8900,1
TN2158_c02,17:00,91.5500,1
TN2158_c03,10:00,91.7000,1
TN2159_c01,13:00,93.5200,1
TN2159_c02,04:00,92.8900,1
TN2159_c03,00:00,94.1500,1
TN2251_c01,22:00,92.8200,1
TN2251_c02,11:00,95.6900,1
TN2251_c03,07:00,95.1500,1
TN2252_c01,21:00,95.8100,1
TN2252_c02,08:00,90.5000,1
TN2252_c03,00:00,87.2700,1
TN2253_c01,11:00,95.0800,1
TN2253_c02,14:00,95.0500,1
TN2253_c03,05:00,94.4600,1
TN2254_c01,16:00,90.2800,1
TN2254_c02,19:00,93.7600,1
TN2254_c03,13:00,93.1400,1
TN2255_c01,18:00,93.5300,1
TN2255_c02,14:00,93.8500,1
TN2255_c03,01:00,92.1300,1
TN2256_c01,04:00,95.4200,1
TN2256_c02,13:00,94.8900,1
TN2256_c03,09:00,93.3000,1
TN2257_c01,06:00,86.1900,1
TN2257_c02,14:00,94.0700,1
TN2257_c03,18:00,92.5600,1
TN2258_c01,04:00,92.4900,1
TN2258_c02,11:00,95.7400,1
TN2258_c03,23:00,90.5500,1
TN2259_c01,21:00,95.2800,1
TN2259_c02,06:00,95.5900,1
TN2259_c03,02:00,91.5600,1
TN2351_c01,18:00,94.9000,1
TN2351_c02,21:00,91.0000,1
TN2351_c03,09:00,94.2100,1
TN2352_c01,03:00,92.3000,1
TN2352_c02,00:00,95.8200,1
TN2352_c03,11:00,94.8100,1
TN2353_c01,03:00,93.8600,1
TN2353_c02,19:00,88.9000,1
TN2353_c03,09:00,92.5700,1
TN2354_c01,10:00,93.6500,1
TN2354_c02,07:00,95.2000,1
TN2354_c03,15:00,95.9000,1
TN2355_c01,20:00,95.9300,1
TN2355_c02,08:00,92.9300,1
TN2355_c03,01:00,92.1500,1
TN2356_c01,05:00,94.9800,1
TN2356_c02,10:00,88.6700,1
TN2356_c03,00:00,95.7600,1
TN2357_c01,19:00,94.4200,1
TN2357_c02,14:00,95.6500,1
TN2357_c03,23:00,94.8200,1
TN2358_c01,19:00,94.6500,1
TN2358_c02,09:00,95.8300,1
TN2358_c03,17:00,95.4100,1
TN2359_c01,17:00,89.3600,1
TN2359_c02,02:00,93.7700,1
TN2359_c03,09:00,95.2900,1
TN2360_c01,06:00,92.9700,1
TN2360_c02,04:00,92.9900,1
TN2360_c03,01:00,92.9800,1
TN2361_c01,18:00,95.8300,1
TN2361_c02,11:00,95.8900,1
TN2361_c03,10:00,93.4600,1
TN2451_c01,00:00,95.7500,1
TN2451_c02,00:00,93.7200,1
TN2451_c03,22:00,90.6600,1
TN2452_c01,02:00,92.6500,1
TN2452_c02,19:00,93.9100,1
TN2452_c03,07:00,95.4700,1
TN2453_c01,03:00,95.7100,1
TN2453_c02,18:00,92.8900,1
TN2453_c03,22:00,91.4600,1
TN2454_c01,11:00,95.4800,1
TN2454_c02,18:00,92.3600,1
TN2454_c03,12:00,95.1200,1
TN2455_c01,00:00,88.8100,1
TN2455_c02,03:00,95.9600,1
TN2455_c03,13:00,93.3200,1
TN2456_c01,12:00,93.9700,1
TN2456_c02,14:00,95.4100,1
TN2456_c03,20:00,89.9200,1
TN2457_c01,08:00,93.7600,1
TN2457_c02,04:00,93.8800,1
TN2457_c03,12:00,94.6500,1
TN2458_c01,14:00,93.2900,1
TN2458_c02,06:00,93.8700,1
TN2458_c03,10:00,91.9900,1
TN2459_c01,21:00,93.9100,1
TN2459_c02,14:00,94.6300,1
TN2459_c03,17:00,95.9100,1
TN2460_c01,22:00,93.6000,1
TN2460_c02,16:00,95.8600,1
TN2460_c03,09:00,95.6400,1
TN2461_c01,22:00,95.8400,1
TN2461_c02,03:00,92.2700,1
TN2461_c03,22:00,94.8900,1
TN3151_c01,12:00,92.9400,1
TN3151_c02,05:00,91.6600,1
TN3151_c03,13:00,93.0200,1
TN3152_c01,09:00,91.8500,1
TN3152_c02,03:00,95.8800,1
TN3152_c03,03:00,93.6000,1
TN3153_c01,10:00,95.7900,1
TN3153_c02,09:00,91.3100,1
TN3153_c03,13:00,87.5900,1
TN3154_c01,11:00,95.4800,1
TN3154_c02,03:00,95.1000,1
TN3154_c03,21:00,95.6500,1
TN3155_c01,01:00,94.0700,1
TN3155_c02,14:00,95.8600,1
TN3155_c03,15:00,91.8900,1
TN3156_c01,15:00,93.6700,1
TN3156_c02,19:00,92.3100,1
TN3156_c03,11:00,95.5800,1
TN3157_c01,20:00,95.9400,1
TN3157_c02,05:00,94.6700,1
TN3157_c03,15:00,92.7300,1
TN3158_c01,14:00,95.1900,1
TN3158_c02,09:00,92.6400,1
TN3158_c03,03:00,92.5400,1
TN3159_c01,22:00,93.1600,1
TN3159_c02,18:00,88.4900,1
TN3159_c03,13:00,87.2200,1
TN3160_c01,08:00,93.8200,1
TN3160_c02,06:00,88.2000,1
TN3160_c03,23:00,88.0600,1
TN3161_c01,13:00,91.8600,1
TN3161_c02,23:00,95.7700,1
TN3161_c03,07:00,91.9300,1
TN3162_c01,18:00,94.3200,1
TN3162_c02,19:00,88.7200,1
TN3162_c03,19:00,91.3300,1
TN3163_c01,07:00,93.8400,1
TN3163_c02,14:00,93.4300,1
TN3163_c03,08:00,92.1200,1
TN3164_c01,10:00,92.0700,1
TN3164_c02,02:00,95.4000,1
TN3164_c03,14:00,83.8700,1
TN3165_c01,15:00,88.6200,1
TN3165_c02,12:00,91.2800,1
TN3165_c03,08:00,89.1300,1
TN3166_c01,02:00,93.3500,1
TN3166_c02,21:00,94.4300,1
TN3166_c03,06:00,94.2200,1
TN3251_c01,23:00,95.0100,1
TN3251_c02,16:00,93.0700,1
TN3251_c03,16:00,93.8700,1
TN3252_c01,21:00,95.0900,1
TN3252_c02,21:00,95.3000,1
TN3252_c03,11:00,93.5700,1
TN3253_c01,13:00,93.8500,1
TN3253_c02,05:00,92.2200,1
TN3253_c03,11:00,90.2700,1
TN3254_c01,06:00,91.8100,1
TN3254_c02,00:00,91.6400,1
TN3254_c03,21:00,93.6600,1
TN3255_c01,16:00,93.1100,1
TN3255_c02,13:00,95.7900,1
TN3255_c03,07:00,95.2300,1
TN3256_c01,17:00,95.5300,1
TN3256_c02,18:00,90.5800,1
TN3256_c03,22:00,91.5500,1
TN3257_c01,13:00,93.6100,1
TN3257_c02,03:00,92.5100,1
TN3257_c03,21:00,94.2700,1
TN3258_c01,14:00,92.3900,1
TN3258_c02,15:00,95.5900,1
TN3258_c03,08:00,95.1600,1
TN3259_c01,13:00,84.1500,1
TN3259_c02,22:00,92.8000,1
TN3259_c03,07:00,94.9800,1
TN3260_c01,07:00,94.7600,1
TN3260_c02,08:00,95.2700,1
TN3260_c03,03:00,95.6500,1
TN3261_c01,13:00,94.7800,1
TN3261_c02,05:00,92.9100,1
TN3261_c03,00:00,92.2200,1
TN3262_c01,02:00,91.9800,1
TN3262_c02,09:00,94.0200,1
TN3262_c03,10:00,92.1200,1
TN3263_c01,01:00,95.6200,1
TN3263_c02,05:00,94.0200,1
TN3263_c03,16:00,95.5000,1
TN3351_c01,15:00,95.3700,1
TN3351_c02,07:00,94.6500,1
TN3351_c03,07:00,89.5800,1
TN3352_c01,00:00,94.5100,1
TN3352_c02,13:00,94.9000,1
TN3352_c03,20:00,95.6200,1
TN3353_c01,02:00,95.4300,1
TN3353_c02,20:00,94.2800,1
TN3353_c03,18:00,95.9000,1
TN3354_c01,16:00,95.1700,1
TN3354_c02,23:00,90.8400,1
TN3354_c03,19:00,93.5000,1
TN3355_c01,12:00,84.1800,1
TN3355_c02,15:00,92.9100,1
TN3355_c03,05:00,95.8000,1
TN3356_c01,23:00,94.9800,1
TN3356_c02,07:00,94.7800,1
TN3356_c03,21:00,95.4700,1
TN3357_c01,15:00,94.9100,1
TN3357_c02,23:00,95.8200,1
TN3357_c03,18:00,92.1700,1
TN3358_c01,11:00,91.8300,1
TN3358_c02,16:00,95.6400,1
TN3358_c03,16:00,94.1000,1
TN3359_c01,06:00,95.2800,1
TN3359_c02,06:00,93.8000,1
TN3359_c03,09:00,95.8200,1
TN3360_c01,05:00,92.6200,1
TN3360_c02,04:00,95.8100,1
TN3360_c03,11:00,95.6500,1
TN3361_c01,05:00,95.4200,1
TN3361_c02,22:00,91.8000,1
TN3361_c03,18:00,95.3400,1
TN3451_c01,20:00,94.7500,1
TN3451_c02,04:00,95.8000,1
TN3451_c03,02:00,94.9900,1
TN3452_c01,02:00,95.6000,1
TN3452_c02,10:00,95.6700,1
TN3452_c03,12:00,89.6700,1
TN3453_c01,06:00,89.2900,1
TN3453_c02,01:00,95.0800,1
TN3453_c03,13:00,95.7100,1
TN3454_c01,19:00,95.6800,1
TN3454_c02,20:00,94.8800,1
TN3454_c03,07:00,95.6800,1
TN3455_c01,20:00,94.3200,1
TN3455_c02,15:00,95.5900,1
TN3455_c03,23:00,88.8900,1
TN3456_c01,09:00,95.1900,1
TN3456_c02,01:00,94.4300,1
TN3456_c03,06:00,92.9900,1
TN3457_c01,05:00,90.3400,1
TN3457_c02,12:00,92.8000,1
TN3457_c03,13:00,95.5700,1
TN3458_c01,07:00,91.0400,1
TN3458_c02,16:00,91.6200,1
TN3458_c03,03:00,94.1400,1
TN3459_c01,14:00,90.9300,1
TN3459_c02,14:00,92.4500,1
TN3459_c03,06:00,95.3300,1
TN3460_c01,10:00,91.1600,1
TN3460_c02,05:00,95.2200,1
TN3460_c03,06:00,93.1600,1
TN3461_c01,16:00,94.9800,1
TN3461_c02,02:00,94.5200,1
TN3461_c03,02:00,88.7800,1
TN3462_c01,06:00,95.8600,1
TN3462_c02,00:00,94.3900,1
TN3462_c03,03:00,91.6000,1
TN3463_c01,01:00,91.4900,1
TN3463_c02,22:00,94.0200,1
TN3463_c03,20:00,95.9400,1
TN3464_c01,18:00,92.3300,1
TN3464_c02,09:00,95.4600,1
TN3464_c03,01:00,94.2000,1
TN3465_c01,00:00,95.4300,1
TN3465_c02,04:00,95.5500,1
TN3465_c03,00:00,95.2400,1
TN3466_c01,12:00,90.0300,1
TN3466_c02,12:00,92.7100,1
TN3466_c03,22:00,95.0600,1
TN4151_c01,01:00,95.5300,1
TN4151_c02,17:00,94.7300,1
TN4151_c03,21:00,95.1900,1
TN4152_c01,15:00,95.8900,1
TN4152_c02,02:00,93.7700,1
TN4152_c03,00:00,94.6400,1
TN4153_c01,08:00,95.9600,1
TN4153_c02,22:00,95.1400,1
TN4153_c03,18:00,93.2300,1
TN4154_c01,03:00,94.8900,1
TN4154_c02,08:00,89.3700,1
TN4154_c03,14:00,95.7000,1
TN4155_c01,07:00,94.1500,1
TN4155_c02,00:00,95.7700,1
TN4155_c03,14:00,95.2000,1
TN4156_c01,02:00,95.5000,1
TN4156_c02,22:00,91.3200,1
TN4156_c03,11:00,89.2500,1
TN4157_c01,16:00,95.4200,1
TN4157_c02,09:00,87.7100,1
TN4157_c03,20:00,95.2900,1
TN4158_c01,01:00,94.2600,1
TN4158_c02,04:00,95.4700,1
TN4158_c03,23:00,94.9500,1
TN4159_c01,15:00,94.6100,1
TN4159_c02,00:00,89.7000,1
TN4159_c03,23:00,93.5000,1
TN4160_c01,16:00,94.6600,1
TN4160_c02,17:00,94.0000,1
TN4160_c03,20:00,95.6300,1
TN4161_c01,07:00,93.2000,1
TN4161_c02,18:00,92.7500,1
TN4161_c03,22:00,93.2200,1
TN4251_c01,20:00,94.9700,1
TN4251_c02,16:00,90.8600,1
TN4251_c03,14:00,93.5200,1
TN4252_c01,21:00,94.1600,1
TN4252_c02,18:00,89.1200,1
TN4252_c03,16:00,93.9000,1
TN4253_c01,16:00,87.8200,1
TN4253_c02,01:00,95.9800,1
TN4253_c03,17:00,93.8200,1
TN4254_c01,14:00,95.5500,1
TN4254_c02,00:00,92.6300,1
TN4254_c03,02:00,93.9600,1
TN4255_c01,04:00,92.8100,1
TN4255_c02,05:00,95.7500,1
TN4255_c03,00:00,92.7100,1
TN4256_c01,08:00,95.9600,1
TN4256_c02,15:00,94.4700,1
TN4256_c03,01:00,93.3700,1
TN4257_c01,03:00,93.8700,1
TN4257_c02,13:00,95.7000,1
TN4257_c03,18:00,95.8900,1
TN4258_c01,07:00,92.1700,1
TN4258_c02,14:00,95.0300,1
TN4258_c03,20:00,93.9800,1
TN4259_c01,09:00,94.2100,1
TN4259_c02,23:00,94.4800,1
TN4259_c03,02:00,89.8300,1
TN4260_c01,05:00,92.1000,1
TN4260_c02,20:00,95.2800,1
TN4260_c03,01:00,92.3100,1
TN4261_c01,11:00,94.8500,1
TN4261_c02,02:00,91.5800,1
TN4261_c03,01:00,95.8300,1
TN4262_c01,07:00,95.6300,1
TN4262_c02,09:00,95.1700,1
TN4262_c03,21:00,94.9600,1
TN4263_c01,00:00,93.8700,1
TN4263_c02,16:00,93.2900,1
TN4263_c03,03:00,94.8900,1
TN4351_c01,03:00,93.5900,1
TN4351_c02,08:00,91.3500,1
TN4351_c03,16:00,89.6400,1
TN4352_c01,15:00,95.8400,1
TN4352_c02,04:00,95.3600,1
TN4352_c03,11:00,94.5900,1
TN4353_c01,13:00,89.3800,1
TN4353_c02,20:00,94.7500,1
TN4353_c03,13:00,95.8800,1
TN4354_c01,18:00,95.8800,1
TN4354_c02,14:00,95.5500,1
TN4354_c03,15:00,93.0600,1
TN4355_c01,06:00,95.6000,1
TN4355_c02,14:00,93.8300,1
TN4355_c03,11:00,95.4200,1
TN4356_c01,03:00,94.7200,1
TN4356_c02,07:00,93.1000,1
TN4356_c03,05:00,92.9900,1
TN4357_c01,12:00,94.0600,1
TN4357_c02,07:00,94.4200,1
TN4357_c03,02:00,88.9700,1
TN4358_c01,23:00,95.4400,1
TN4358_c02,22:00,84.7500,1
TN4358_c03,14:00,93.3000,1
TN4359_c01,21:00,95.4700,1
TN4359_c02,08:00,95.2700,1
TN4359_c03,04:00,95.7600,1
TN4360_c01,05:00,93.5700,1
TN4360_c02,21:00,95.9600,1
TN4360_c03,14:00,95.8600,1
TN4361_c01,00:00,92.7900,1
TN4361_c02,01:00,87.4600,1
TN4361_c03,01:00,95.1200,1
TN4362_c01,22:00,93.1300,1
TN4362_c02,10:00,94.5700,1
TN4362_c03,04:00,94.9000,1
TN5151_c01,12:00,94.9300,1
TN5151_c02,07:00,93.7700,1
TN5151_c03,17:00,95.3000,1
TN5152_c01,06:00,92.6200,1
TN5152_c02,13:00,95.4300,1
TN5152_c03,03:00,95.9200,1
TN5153_c01,13:00,95.5700,1
TN5153_c02,02:00,93.1700,1
TN5153_c03,06:00,94.2700,1
TN5154_c01,18:00,89.8900,1
TN5154_c02,04:00,91.6800,1
TN5154_c03,10:00,95.7300,1
TN5155_c01,12:00,88.0100,1
TN5155_c02,07:00,90.2100,1
TN5155_c03,02:00,93.8600,1
TN5156_c01,19:00,95.9200,1
TN5156_c02,08:00,95.7300,1
TN5156_c03,18:00,94.7800,1
TN5157_c01,12:00,91.3800,1
TN5157_c02,13:00,91.4300,1
TN5157_c03,17:00,91.2300,1
TN5158_c01,01:00,92.6000,1
TN5158_c02,11:00,94.6600,1
TN5158_c03,18:00,87.8000,1
TN5159_c01,15:00,93.0200,1
TN5159_c02,06:00,95.6000,1
TN5159_c03,11:00,95.1600,1
TN5160_c01,06:00,95.5600,1
TN5160_c02,09:00,92.3600,1
TN5160_c03,01:00,95.0500,1
TN5251_c01,04:00,92.4300,1
TN5251_c02,02:00,94.8100,1
TN5251_c03,20:00,94.0000,1
TN5252_c01,18:00,95.3800,1
TN5252_c02,02:00,93.8100,1
TN5252_c03,08:00,94.7400,1
TN5253_c01,13:00,94.3900,1
TN5253_c02,01:00,95.7300,1
TN5253_c03,04:00,94.4800,1
TN5254_c01,07:00,95.2200,1
TN5254_c02,04:00,91.4300,1
TN5254_c03,18:00,95.3500,1
TN5255_c01,06:00,95.2900,1
TN5255_c02,17:00,93.6500,1
TN5255_c03,19:00,92.1000,1
TN5256_c01,22:00,95.0000,1
TN5256_c02,13:00,89.7000,1
TN5256_c03,12:00,95.4800,1
TN5257_c01,06:00,95.8600,1
TN5257_c02,04:00,94.9800,1
TN5257_c03,03:00,90.1900,1
TN5258_c01,14:00,92.9700,1
TN5258_c02,09:00,90.5100,1
TN5258_c03,06:00,92.9600,1
TN5259_c01,15:00,95.0600,1
TN5259_c02,18:00,94.1100,1
TN5259_c03,17:00,95.9800,1
TN5351_c01,16:00,93.2200,1
TN5351_c02,22:00,95.7000,1
TN5351_c03,19:00,95.8000,1
TN5352_c01,22:00,90.9600,1
TN5352_c02,11:00,90.9200,1
TN5352_c03,22:00,95.0300,1
TN5353_c01,18:00,94.4500,1
TN5353_c02,12:00,92.1800,1
TN5353_c03,17:00,94.6000,1
TN5354_c01,19:00,95.7000,1
TN5354_c02,01:00,95.2500,1
TN5354_c03,01:00,92.7400,1
TN5355_c01,09:00,94.9100,1
TN5355_c02,09:00,95.9500,1
TN5355_c03,13:00,93.5400,1
TN5356_c01,07:00,91.2900,1
TN5356_c02,09:00,94.8300,1
TN5356_c03,04:00,94.6200,1
TN5357_c01,07:00,88.4600,1
TN5357_c02,03:00,95.1100,1
TN5357_c03,12:00,95.8100,1
TN6151_c01,20:00,95.6700,1
TN6151_c02,03:00,92.5300,1
TN6151_c03,06:00,93.1800,1
TN6152_c01,14:00,91.0300,1
TN6152_c02,09:00,90.3000,1
TN6152_c03,07:00,92.3500,1
TN6153_c01,01:00,95.2600,1
TN6153_c02,23:00,95.2600,1
